"ID","Category","Failure_Mode","Inherent_SODRPN","Residual_SODRPN","Priority","Release_Gate_Impact","Owner_Role","Status","Control_Effectiveness","KRI","Trigger_Threshold","Mitigation_Plan","Contingency_Plan","Evidence_Classes","Evidence_Confidence","Evidence_Date","Target_Date","Accepted_By","Acceptance_Expiry","Evidence"
"JTS-R-001","Application Workflow Integrity","Review-gate behavior is ambiguous in with-review E2E outcomes","5/4/4=80","5/3/3=45","Critical","Block","Application Engineering Lead + QA Lead","Open","2","KRI-001","Any release run in passed_expected_review_hold without approved exception","Define deterministic release assertion for with-review path","Freeze prod release pending risk-board decision","D,I,T","Medium","2026-03-23","2026-04-05","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:146; packages/scripts/end-to-end-tests/IMPLEMENTATION.md:154"
"JTS-R-002","Application Workflow Integrity","Lock lifecycle remains race-prone with timeout/no auto-renew behavior","4/4/4=64","4/3/3=36","Medium","Conditional","Application Engineering Lead","Open","2","KRI-002","Lock conflict rate >2% weekly","Add lock-renew design and race-condition tests","Restrict concurrent editors for high-priority forms","D,I,T,R","Medium","2026-03-23","2026-04-15","TBD","TBD","complexity_analysis_exec_summary.md:38; docs/ui/HIL_Lock_Feature.md:12; docs/ui/HIL_Lock_Feature.md:13"
"JTS-R-003","CI/CD and Test Assurance","PR gating does not consistently include high-value E2E paths","5/4/4=80","5/3/3=45","Critical","Block","QA Lead + Platform/DevOps Lead","Open","2","KRI-003","PR E2E coverage <100% for release-scoped workflows","Add mandatory hotspot E2E smoke gate on PR path","Block merge/release to protected branch","D,I,T,R","High","2026-03-23","2026-04-01","TBD","TBD","complexity_analysis_exec_summary.md:40; .github/workflows/main.yml:114; .github/workflows/main.yml:116"
"JTS-R-004","Governance and Compliance Controls","QA document claims stronger gate coverage than enforced in pipeline paths","4/4/4=64","4/3/3=36","Medium","Conditional","QA Lead","Open","2","KRI-004","Any release-significant doc/pipeline mismatch","Reconcile QA claims to enforced controls and evidence paths","Document temporary compensating controls and approval","D,I,G","Medium","2026-03-23","2026-04-08","TBD","TBD","docs/software-qa.md:12; docs/software-qa.md:193; .github/workflows/main.yml:116"
"JTS-R-005","Documentation and Operational Readiness","Control docs are incomplete/placeholder-heavy in release-significant areas","4/3/5=60","3/3/4=36","Medium","Conditional","Program/Delivery Authority","Open","2","KRI-005","Any critical control section remains placeholder at release checkpoint","Complete critical docs and link to runtime/test proof","Require explicit short-lived exception at risk board","D,G","High","2026-03-23","2026-04-12","TBD","TBD","docs/design/system-design-doc.md:1; docs/software-qa.md:44; docs/data-quality-management.md:88"
"JTS-R-006","Data Pipeline and Quality","OCR/NLP threshold and quality controls are incomplete for some ontologies/sections","5/3/4=60","5/3/3=45","Critical","Block","Data Governance Lead + QA Lead","Open","2","KRI-006","Undefined thresholds or benchmark drift breach","Define acceptance thresholds and automate drift detection","Route impacted forms to mandatory human review","D,I,T,R","Medium","2026-03-23","2026-04-20","TBD","TBD","docs/data-quality-management.md:83; docs/data-quality-management.md:88; docs/data-quality-management.md:92"
"JTS-R-007","Infrastructure and Deployment","HIL deploy readiness shows environment/secret/reachability instability","4/3/4=48","3/3/3=27","Medium","Conditional","Platform/DevOps Lead","Open","3","KRI-007","HIL deploy success <99% in release runs","Stabilize secret/reachability policy and CI deploy path","Controlled manual HIL deploy with checklist evidence","I,T,R,G","Medium","2026-03-23","2026-04-10","TBD","TBD",".github/workflows/main.yml:154; packages/scripts/end-to-end-tests/docs/multi-form-phase2-2026-02-24.md:354; packages/scripts/end-to-end-tests/docs/multi-form-phase2-2026-02-24.md:380"
"JTS-R-008","Observability and Incident Readiness","Observability controls are asserted but not evidenced by complete operational control documentation","5/3/4=60","5/3/4=60","Critical","Block","Platform/DevOps Lead + Operations Lead","Open","1","KRI-008","Critical workflow alarm/runbook coverage <100%","Build alarm/control matrix with operational validation","Release freeze and temporary manual monitoring","D,R,G","Low","2026-03-23","2026-04-18","TBD","TBD","docs/software-qa.md:11; docs/software-qa.md:231"
"JTS-R-009","Recovery and Rollback","Restore/failover proof is incomplete for critical stores and workflows","5/3/5=75","5/3/4=60","Critical","Block","Operations/Release Authority","Open","1","KRI-009","Missing or failed restore drill within SLA","Execute restore/rollback drills and publish evidence","Block cutover until successful drill + rollback proof","D,Rc,G","Low","2026-03-23","2026-04-25","TBD","TBD","docs/design/system-design-doc.md:316; docs/design/system-design-doc.md:326; docs/ops-platform-guide.md:319"
"JTS-R-010","Security and Access Control","Static-analysis/security backlog creates unresolved release-significant debt","4/4/4=64","4/3/3=36","Medium","Conditional","Cloud Security Architect + Engineering Lead","Open","2","KRI-010","Any open critical vuln without acceptance","Enforce release-blocking vulnerability policy","Formal exception with compensating controls + expiry","S,G","Medium","2026-03-23","2026-04-07","TBD","TBD","issues.json:2; issues.json:15; issues.json:239"
"JTS-R-011","Application Workflow Integrity","Internal test-only approval path can diverge from production approval semantics","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead + QA Lead","Open","2","KRI-011","Test-only approval path used as release-signoff evidence","Separate dev-diagnostic and release-signoff paths","Require manual sign-off using production-equivalent path","I,T,G","Medium","2026-03-23","2026-04-09","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:146"
"JTS-R-012","CI/CD and Test Assurance","Full multi-form Dev AWS E2E execution remains a known gap","4/4/4=64","3/4/3=36","Medium","Conditional","QA Lead","Open","2","KRI-012","Multi-form E2E coverage incomplete at release checkpoint","Implement and require all-form release validation plan","Restrict release to forms with validated end-to-end evidence","I,T,R","Medium","2026-03-23","2026-05-01","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:360"
"JTS-R-013","Application Workflow Integrity","With-review re-entry behavior remains unresolved in known gap list","4/3/4=48","4/3/3=36","Medium","Conditional","Application Engineering Lead","Open","2","KRI-013","Any with-review re-entry unresolved in release candidate","Resolve re-entry behavior and assertion contract","Treat as release blocker for affected form path","I,T,R","Medium","2026-03-23","2026-04-05","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:370"
"JTS-R-014","Governance and Compliance Controls","Update lifecycle automation remains incomplete by documented admission","3/3/4=36","3/3/3=27","Medium","Monitor","Program/Delivery Authority","Open","2","KRI-014","Automation maturity KPI below agreed minimum","Define automation roadmap milestones with owners","Use manual sign-off gate until roadmap milestone met","D,G","Medium","2026-03-23","2026-04-30","TBD","TBD","docs/ops-platform-guide.md:337"
