"ID","Category","Failure_Mode","Inherent_SODRPN","Residual_SODRPN","Priority","Release_Gate_Impact","Owner_Role","Status","Control_Effectiveness","KRI","Trigger_Threshold","Mitigation_Plan","Contingency_Plan","Evidence_Classes","Evidence_Confidence","Evidence_Date","Target_Date","Accepted_By","Acceptance_Expiry","Evidence"
"JTS-R-001","Application Workflow Integrity","Review-gate behavior is ambiguous in with-review E2E outcomes","5/4/4=80","5/3/3=45","Critical","Block","Application Engineering Lead + QA Lead","Open","2","KRI-001","Any release run in passed_expected_review_hold without approved exception","Define deterministic release assertion for with-review path","Freeze prod release pending risk-board decision","D,I,T","Medium","2026-03-23","2026-04-05","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:146; packages/scripts/end-to-end-tests/IMPLEMENTATION.md:154"
"JTS-R-002","Application Workflow Integrity","Lock lifecycle remains race-prone with timeout/no auto-renew behavior","4/4/4=64","4/3/3=36","Medium","Conditional","Application Engineering Lead","Open","2","KRI-002","Lock conflict rate >2% weekly","Add lock-renew design and race-condition tests","Restrict concurrent editors for high-priority forms","D,I,T,R","Medium","2026-03-23","2026-04-15","TBD","TBD","complexity_analysis_exec_summary.md:38; docs/ui/HIL_Lock_Feature.md:12; docs/ui/HIL_Lock_Feature.md:13"
"JTS-R-003","CI/CD and Test Assurance","Aggregate E2E entrypoint and package graph overstate multi-form release coverage","5/4/4=80","5/4/3=60","Critical","Block","QA Lead + Platform/DevOps Lead","Open","2","KRI-003","Aggregate E2E command evidence does not include all release-significant forms/workflows","Require form-by-form release-path E2E matrix tied to CI gate checks","Block merge/release to protected branch until matrix is complete","D,I,T,R","High","2026-03-24","2026-04-01","TBD","TBD","packages/scripts/end-to-end-tests/README.md:60; packages/scripts/end-to-end-tests/default.nix:469; packages/scripts/end-to-end-tests/default.nix:483"
"JTS-R-004","Governance and Compliance Controls","Test strategy and QA coverage documentation drift from active package runtime and scope","4/4/4=64","4/4/3=48","High","Conditional","QA Lead","Open","2","KRI-004","Any release-significant doc/runtime mismatch in package-level test strategy","Reconcile implementation docs to active runtime, scope, and CI invocation path","Document temporary compensating controls and explicit expiry","D,I,G","Medium","2026-03-24","2026-04-08","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:359; packages/scripts/end-to-end-tests/README.md:30; packages/scripts/end-to-end-tests/default.nix:474"
"JTS-R-005","Documentation and Operational Readiness","Control docs are incomplete/placeholder-heavy in release-significant areas","4/3/5=60","3/3/4=36","Medium","Conditional","Program/Delivery Authority","Open","2","KRI-005","Any critical control section remains placeholder at release checkpoint","Complete critical docs and link to runtime/test proof","Require explicit short-lived exception at risk board","D,G","High","2026-03-23","2026-04-12","TBD","TBD","docs/design/system-design-doc.md:1; docs/software-qa.md:44; docs/data-quality-management.md:88"
"JTS-R-006","Data Pipeline and Quality","ML validation and inference controls permit non-production-like quality evidence and missing-feature fallback behavior","5/4/4=80","5/4/3=60","Critical","Block","Data Governance Lead + QA Lead","Open","1","KRI-006","Missing grouped-holdout quality evidence or any missing-feature fallback in inference path","Enforce document-level grouped validation and fail-closed feature-contract checks in inference","Route impacted forms to mandatory human review and suspend automated confidence claims","D,I,T,R","Low","2026-03-24","2026-04-20","TBD","TBD","packages/process_textract_ml/process_textract_ml/dataset.py:386; packages/process_textract_ml/process_textract_ml/infer.py:508; packages/process_textract_ml/process_textract_ml/infer.py:521"
"JTS-R-007","Infrastructure and Deployment","HIL deploy readiness shows environment/secret/reachability instability","4/3/4=48","3/3/3=27","Medium","Conditional","Platform/DevOps Lead","Open","3","KRI-007","HIL deploy success <99% in release runs","Stabilize secret/reachability policy and CI deploy path","Controlled manual HIL deploy with checklist evidence","I,T,R,G","Medium","2026-03-23","2026-04-10","TBD","TBD",".github/workflows/main.yml:154; packages/scripts/end-to-end-tests/docs/multi-form-phase2-2026-02-24.md:354; packages/scripts/end-to-end-tests/docs/multi-form-phase2-2026-02-24.md:380"
"JTS-R-008","Observability and Incident Readiness","Partial extraction success paths and short-retention high-verbosity workflow logging weaken incident detection and forensics","5/4/4=80","5/4/3=60","Critical","Block","Platform/DevOps Lead + Operations Lead","Open","1","KRI-008","Any partial extraction success path lacks explicit incident signal or workflow log retention falls below policy minimum","Add partial-processing telemetry + alerting and raise workflow log retention policy baseline","Release freeze and temporary manual monitoring with forensic evidence capture","D,R,G","Low","2026-03-24","2026-04-18","TBD","TBD","packages/lambdas/process-textract/process_textract_lambda.py:517; packages/lambdas/process-textract/process_textract_lambda.py:525; packages/jts-deploy/infrastructure/workflows/modules/sf_workflow/main.tf:49; packages/jts-deploy/infrastructure/workflows/modules/sf_workflow/main.tf:62"
"JTS-R-009","Recovery and Rollback","Restore/failover proof is incomplete for critical stores and workflows","5/3/5=75","5/3/4=60","Critical","Block","Operations/Release Authority","Open","1","KRI-009","Missing or failed restore drill within SLA","Execute restore/rollback drills and publish evidence","Block cutover until successful drill + rollback proof","D,Rc,G","Low","2026-03-23","2026-04-25","TBD","TBD","docs/design/system-design-doc.md:316; docs/design/system-design-doc.md:326; docs/ops-platform-guide.md:319"
"JTS-R-010","Security and Access Control","Vulnerability and SBOM control failures can be recorded without hard-failing release assurance path","4/4/4=64","4/4/3=48","High","Conditional","Cloud Security Architect + Engineering Lead","Open","2","KRI-010","Any failed vulnerability scan or SBOM generation in release pipeline, or any open critical vuln without acceptance","Enforce hard-fail policy for scan/SBOM generation and critical vulnerability thresholds","Formal exception with compensating controls + expiry","S,G","Medium","2026-03-24","2026-04-07","TBD","TBD","packages/ci/vulnScan.nix:44; packages/ci/vulnScan.nix:65; packages/ci/generateSbom.nix:87; packages/ci/generateSbom.nix:108"
"JTS-R-011","Application Workflow Integrity","Internal test-only approval path can diverge from production approval semantics","4/4/4=64","4/4/3=48","High","Conditional","Application Engineering Lead + QA Lead","Open","2","KRI-011","Test-only approval path used as release-signoff evidence","Separate dev-diagnostic and release-signoff paths","Require manual sign-off using production-equivalent path","I,T,G","Medium","2026-03-23","2026-04-09","TBD","TBD","packages/scripts/end-to-end-tests/IMPLEMENTATION.md:146"
